Pixel,Thickness (nm),
4752.000000,151.793243,
4753.000000,122.379623,
4765.000000,75.896622,
4779.000000,122.379623,
4780.000000,151.793243,
4787.000000,139.946442,
4799.000000,75.896622,
4811.000000,169.710007,
4822.000000,139.946442,
4837.000000,139.946442,
4840.000000,151.793243,
4841.000000,122.379623,
4871.000000,139.946442,
4872.000000,169.710007,
4883.000000,144.003708,
4884.000000,122.379623,
4903.000000,139.946442,
4904.000000,169.710007,
4922.000000,139.946442,
4936.000000,151.793243,
4943.000000,169.710007,
4983.000000,139.946442,
4984.000000,151.793243,
4986.000000,139.946442,
5002.000000,122.379623,
5012.000000,135.768005,
5037.000000,67.884003,
5069.000000,139.946442,
5071.000000,122.379623,
5079.000000,107.334030,
5092.000000,139.946442,
5093.000000,173.070923,
5096.000000,203.651993,
5097.000000,203.651993,
5106.000000,173.070923,
5107.000000,169.710007,
5120.000000,48.001236,
5140.000000,203.651993,
5150.000000,182.783264,
5164.000000,75.896622,
5214.000000,75.896622,
5236.000000,203.651993,
5239.000000,173.070923,
5263.000000,169.710007,
5264.000000,192.004944,
5280.000000,237.593994,
5281.000000,237.593994,
5282.000000,237.593994,
5288.000000,173.070923,
5307.000000,169.710007,
5308.000000,197.914169,
5314.000000,173.070923,
5360.000000,144.003708,
5366.000000,169.710007,
5367.000000,144.003708,
5383.000000,173.070923,
5384.000000,206.461136,
5388.000000,169.710007,
5399.000000,75.896622,
5420.000000,173.070923,
5422.000000,237.593994,
5423.000000,237.593994,
5424.000000,237.593994,
5427.000000,169.710007,
5428.000000,144.003708,
5449.000000,182.783264,
5451.000000,169.710007,
5502.000000,139.946442,
5519.000000,144.003708,
5520.000000,169.710007,
5532.000000,197.914169,
5533.000000,182.783264,
5534.000000,169.710007,
5563.000000,122.379623,
5574.000000,151.793243,
5581.000000,173.070923,
5606.000000,182.783264,
5620.000000,169.710007,
5621.000000,151.793243,
5649.000000,197.914169,
5667.000000,169.710007,
5668.000000,144.003708,
5683.000000,169.710007,
5684.000000,197.914169,
5710.000000,75.896622,
5727.000000,144.003708,
5729.000000,151.793243,
5739.000000,122.379623,
5754.000000,169.710007,
5756.000000,169.710007,
5770.000000,182.783264,
5775.000000,173.070923,
