Pixel,Thickness (nm),
17049.000000,96.002472,
17065.000000,75.896622,
17109.000000,33.942001,
17129.000000,96.002472,
17155.000000,169.710007,
17168.000000,48.001236,
17189.000000,169.710007,
17207.000000,67.884003,
17215.000000,75.896622,
17274.000000,122.379623,
17277.000000,96.002472,
17299.000000,75.896622,
17312.000000,96.002472,
17344.000000,75.896622,
17381.000000,48.001236,
17435.000000,33.942001,
17583.000000,96.002472,
17584.000000,122.379623,
17585.000000,122.379623,
17598.000000,33.942001,
17652.000000,107.334030,
17676.000000,67.884003,
17691.000000,67.884003,
17714.000000,75.896622,
17742.000000,48.001236,
17754.000000,139.946442,
17806.000000,122.379623,
17821.000000,75.896622,
17894.000000,75.896622,
17959.000000,217.334839,
17967.000000,169.710007,
18003.000000,75.896622,
18028.000000,75.896622,
18072.000000,75.896622,
18088.000000,75.896622,
18132.000000,67.884003,
18154.000000,96.002472,
18179.000000,169.710007,
18193.000000,48.001236,
18231.000000,75.896622,
18240.000000,75.896622,
18310.000000,48.001236,
18323.000000,96.002472,
18337.000000,96.002472,
18369.000000,75.896622,
18404.000000,48.001236,
18459.000000,48.001236,
18598.000000,96.002472,
18599.000000,75.896622,
18605.000000,75.896622,
18606.000000,96.002472,
18610.000000,122.379623,
18622.000000,48.001236,
18676.000000,135.768005,
18700.000000,75.896622,
18716.000000,48.001236,
18739.000000,75.896622,
18766.000000,48.001236,
18778.000000,151.793243,
18831.000000,107.334030,
18846.000000,75.896622,
18919.000000,75.896622,
18982.000000,217.334839,
19026.000000,67.884003,
19053.000000,67.884003,
19080.000000,139.946442,
19096.000000,75.896622,
19111.000000,75.896622,
19140.000000,75.896622,
19141.000000,75.896622,
19146.000000,48.001236,
19156.000000,75.896622,
19179.000000,96.002472,
19203.000000,169.710007,
19218.000000,67.884003,
19236.000000,197.914169,
19238.000000,197.914169,
19239.000000,169.710007,
19255.000000,96.002472,
19265.000000,75.896622,
19280.000000,48.001236,
19322.000000,139.946442,
19334.000000,67.884003,
19346.000000,96.002472,
19362.000000,96.002472,
19394.000000,67.884003,
19427.000000,48.001236,
19437.000000,75.896622,
19484.000000,67.884003,
19620.000000,96.002472,
19624.000000,75.896622,
19628.000000,75.896622,
19635.000000,107.334030,
19647.000000,67.884003,
19699.000000,144.003708,
19725.000000,67.884003,
19740.000000,48.001236,
19764.000000,67.884003,
19791.000000,48.001236,
19802.000000,139.946442,
19855.000000,96.002472,
19871.000000,75.896622,
19943.000000,96.002472,
19955.000000,48.001236,
20005.000000,217.334839,
20049.000000,48.001236,
20078.000000,48.001236,
20104.000000,151.793243,
20120.000000,67.884003,
20130.000000,75.896622,
20131.000000,101.825996,
20134.000000,75.896622,
20166.000000,75.896622,
20167.000000,75.896622,
20168.000000,67.884003,
20169.000000,67.884003,
20180.000000,96.002472,
20204.000000,96.002472,
20224.000000,107.334030,
20225.000000,139.946442,
20243.000000,75.896622,
20259.000000,214.668060,
20278.000000,107.334030,
20289.000000,96.002472,
20305.000000,48.001236,
20306.000000,33.942001,
20346.000000,135.768005,
20358.000000,48.001236,
20369.000000,96.002472,
20387.000000,67.884003,
20397.000000,48.001236,
20398.000000,67.884003,
20450.000000,48.001236,
20460.000000,96.002472,
20509.000000,48.001236,
20597.000000,107.334030,
20644.000000,75.896622,
20649.000000,75.896622,
20650.000000,96.002472,
20651.000000,96.002472,
20659.000000,107.334030,
20671.000000,67.884003,
20723.000000,169.710007,
20749.000000,75.896622,
20765.000000,48.001236,
20789.000000,48.001236,
20815.000000,67.884003,
20826.000000,122.379623,
20880.000000,96.002472,
20896.000000,75.896622,
20897.000000,48.001236,
20967.000000,107.334030,
20979.000000,67.884003,
21028.000000,217.334839,
21040.000000,144.003708,
21102.000000,48.001236,
21144.000000,48.001236,
21156.000000,122.379623,
21157.000000,96.002472,
21204.000000,122.379623,
21228.000000,107.334030,
21247.000000,96.002472,
21268.000000,96.002472,
21275.000000,96.002472,
21276.000000,122.379623,
21277.000000,144.003708,
21278.000000,169.710007,
21282.000000,217.334839,
21302.000000,122.379623,
21314.000000,107.334030,
